filename,width,height,class,xmin,ymin,xmax,ymax
DVLA mock up UK Driving Licence_2.jpg,640,416,dl_uk,35,17,612,396
e10765e903f221aec268e04a2004709b.jpg,366,255,passport_uk,7,1,363,244
e939eebd496300fa5b61c2577e14c1e7.jpg,264,375,passport_us,2,187,260,371
epassport.jpg,350,498,passport_us,4,257,347,491
FB_IMG_1456431816609.jpg,341,480,passport_us,11,243,337,469
forged-passport-01.jpg,600,832,passport_uk,17,422,582,797
image001.jpg,504,357,passport_uk,7,3,490,336
images (1).jpg,188,268,passport_us,5,133,183,262
images (10).jpg,282,179,dl_uk,5,4,275,173
images (11).jpg,260,194,dl_uk,25,29,231,160
images (12).jpg,225,225,dl_uk,5,44,217,179
images (13).jpg,266,189,dl_uk,3,2,262,184
images (14).jpg,278,181,dl_uk,14,21,261,161
images (16).jpg,280,180,dl_uk,10,7,272,172
images (17).jpg,281,179,dl_uk,9,6,274,172
images (18).jpg,211,239,dl_uk,14,63,195,177
images (2).jpg,191,264,passport_us,2,132,187,258
images (3).jpg,199,253,passport_us,18,129,185,246
images (4).jpg,194,259,passport_us,1,131,189,257
images (5).jpg,198,254,passport_us,2,131,195,253
images (6).jpg,191,263,passport_us,3,135,182,259
images (7).jpg,259,194,passport_uk,42,48,247,180
images (9).jpg,271,186,passport_uk,7,2,265,177
images.jpg,192,262,passport_us,9,138,189,257
images3.jpg,188,268,passport_us,4,134,184,261
image_116110.jpg,600,416,passport_uk,9,4,588,399
JeffPassport001[1].jpg,248,344,passport_us,3,173,239,341
JS62665713.jpg,615,409,passport_uk,4,60,607,395
Lambert-passport.jpg,400,556,passport_uk,3,274,382,540
license-flag.jpg,503,344,dl_uk,22,24,482,315
main-qimg-c5b1062c30292eb5c53cdcedd2017c07-c.jpg,549,387,passport_us,9,2,538,368
master_photo.jpg,820,429,passport_uk,116,8,719,424
mavarine-du-marie-passport-details.jpg,195,148,passport_uk,7,15,185,132
Mr-Bean-David-Cameron-spoof-driviing-licence.jpg,1200,720,dl_uk,23,10,1132,710
New-British-passport-desi-006.jpg,300,180,passport_uk,6,3,291,177
newpassport.jpg,200,278,passport_us,10,139,190,266
Passport AJS 2022.jpg,185,264,passport_uk,3,129,174,248
PASSPORT.jpg,643,950,passport_uk,11,476,627,925
passport1.jpg,962,580,passport_uk,14,10,934,567
passport_usa_big.jpg,434,600,passport_us,4,306,427,585
QLWz9.jpg,600,413,passport_uk,13,6,583,395
ScamPP.jpg,138,98,passport_uk,1,1,133,94
Scam_Passport.jpg,674,943,passport_uk,31,458,628,871
SCAN0124.jpg,262,346,passport_uk,78,219,256,340
Sun-passport.jpg,620,465,passport_uk,8,15,607,442
thumb (1).jpg,900,642,passport_uk,38,53,853,590
thumb (2).jpg,636,900,passport_uk,15,460,620,882
thumb (3).jpg,663,900,passport_uk,58,466,617,847
uk-driving-front.jpg,900,577,dl_uk,38,38,826,548
uk-driving-licence-1-638.jpg,638,906,dl_uk,28,83,601,448
UK-Licence.jpg,600,350,dl_uk,14,5,592,343
Ukfulldrivinglicence.jpg,368,236,dl_uk,5,5,360,229
us-passport-photo-template-us-passport-photo-template-us-passport-photo-template-3v0cibwl-GSHujA.jpg,578,800,passport_us,13,402,560,782
Venerable.jpg,369,513,passport_us,15,260,351,495
y4d9O.jpg,254,172,passport_us,5,4,244,164
